Nom Text,Latin Translation
沛 𡥚 阿 秀 𠊚 不 仁,phải gã a tú người bất nhân
俸 几 晋 𠊚 秦,bỗng kẻ tấn người tần
芳 花 傳 𧘇 珠 陳 義 初,phương hoa chuyện ấy châu trân nghĩa xưa
黄 秀 傳 𧘇 縁 於,hoàng tú chuyện ấy duyên ưa
﨤 娘 美 女 𡗶 車 𠬠 茹,gặp nàng mỹ nữ giời xe một nhà
勸 孝 傳 𧘇 䀡 戈,khuyến hiếu chuyện ấy xem qua
二 十 四 孝 英 陀 拱 通,nhị thập tứ hiếu anh đà cũng thông
四 灵 傳 𧘇 摄 穷,tứ linh chuyện ấy xếp cùng
每 𠊚 每 我 相 逢 交 歡,mỗi người mỗi ngã tương phùng giao hoan
𠸦 朱 堆 我 北 南,khen cho đôi ngã bắc nam
人 縁 定 吏 車 爫 𠬠 边,nhân duyên định lại xe làm một bên
𠀧 生 朱 院 𨑮 願,ba sinh cho vẹn mười nguyền
﨤 娘 買 吘 根 原 事 情,gặp nàng mới ngỏ căn nguyên sự tình
𥪝 𠀧 𨑮 𦒹 傳 仃 仃,trong ba mươi sáu chuyện đành đành
﨤 娘 買 吘 事 情 𡢐,gặp nàng mới ngỏ sự tình sau
監 客 於 𨑗 𠁀,giám khách ở trên đời
監 𡅳 客 於 𨕭 𠁀,dám khuyên khách ở trên đời
咹 制 朱 沛 别 𠳒 𫏾 𡢐,ăn chơi cho phải biết lời trước sau
停 輕 𧁷 渚 𢚁 𢀭,đừng khinh khó chớ cậy giàu
古 初 𠳒 𠸠 𧗱 𡢐 猪 猪,cổ sơ lời ví về sau trờ trờ
埃 𢀭 𠄩 𣱆 包,ai giầu hai họ bao
空 埃 𧁷 典 𠀧 𠁀 𦓡 𢗼,không ai khó đến ba đời mà lo
箕 如 丐 菓 埃 扜,kìa như cái quả ai vo
梗 花 埃 曰 别 朱 世 芇,cành hoa ai viết biết cho thế nào
𡶀 箕 埃 撘 𦓡 高,núi kia ai đắp mà cao
滝 箕 𣷭 意 埃 陶 𦓡 溇,sông kia bể ấy ai đào mà sâu
渃 潮 埃 埃 洃,nước chiều ai ai khoi
干 𨖲 辰 世 干 耒 如 空,cơn lên thời thế cơn rồi như không
𥪝 棱 𣘃 意 埃 槞,trong rừng cây ấy ai trồng
𩈘 𡗶 埃 𥙩 爫 篭 金 烏,mặt trời ai lấy làm lồng kim ô
𡄎 䀡 造 化 机 圖,gẫm xem tạo hoá cơ đồ
情 算 拱 丕 敖 𨒣 妥 𠁀,tình toan cũng vậy ngao du thoả đời
拯 戈 事 在 𡗶,chẳng qua sự tại trời
大 生 埃 拱 刼 𠊛 𦓡 催,đại sinh ai cũng kiếp người mà thôi
吏 漢 傳 䀡 制,lại hán truyện xem chơi
㗂 𠸦 項 羽 英 宜 埃 當,tiếng khen hạng vũ anh nghe ai đương
力 能 舉 鼎 拔 山,lực năng cử đỉnh bạt sơn
身 長 八 尺 漢 皇 㐌,thân tràng bát xích hán hoàng đã
吏 䀡 西 代 東 征,lại xem tây đại đông chinh
百 戰 百 勝 㐌 𠃩 𡗶,bách chiến bách thắng đã chín trời
埃 咍 垓 下 变 移,ai hay cai hạ biến rời
漢 王 一 勝 𨖲 治 位,hán vương nhất thắng lên trị vì
從 容 固 進 𠬠 欺,thong dong có tiến một khi
計 制 各 麻 推 事 𡗶,kể chơi các mà suy sự trời
於 𠁀 𠇍 几 𢚁 裁,ở đời mấy kẻ cậy tài
爭 坤 爭 窖 埃 埋 特 𡗉,tranh khôn tranh khéo ai may được nhiều
𠇍 𠊚 咹 於 别 調,mấy người ăn ở biết điều
塊 渡 輕 㳥 吶 料 滇 滇,khỏi đò khinh sóng nói liều chan chan
窖 台 公 人 間,khéo thay công nhân gian
呐 𠬠 外 盘 𦋦 𠀧,nói một ngoài bàn ra ba
催 催 内 𠃣 拱,thôi thôi nói ít cũng
皮 太 看 㗂 𦝄 花 麻,bề thái khán tiếng trăng hoa mà
悲 𣉹 計 𧊉 花,bây giờ kể bướm hoa
埃 䀡 典 傳 計 𦋦 買 詳,ai xem đến truyện kể ra mấy tường
特 排 事 𧊉 𤑟 𤉜,được bày sự bướm rõ ràng
形 時 㗂 𢀨 埃,hình thì tiếng sang ai
𡗶 泣 各 梗,trời khắp các cành
花 𧊉 帝 聘 排 𩛂 堆,hoa bướm đấy sánh bày no đôi
庒 𠲖 閣 鳯 臺,chẳng e các phượng đài
𧡊 花 時 典 埃 辰 垠,thấy hoa thì đến ai thì ngăn
𧊉 浪 𢆥 𠇍 𣎃 春,bướm rằng năm mấy tháng xuân
咹 制 朱 妥 塵 買,ăn chơi cho thoả trần mấy
吏 低 𠳨 客 𦟐 桃,lại đây hỏi khách má đào
群 空 咍 㐌 尼 芇 称 斤,còn không hay đã nơi nào xứng cân
他 鄕 﨤 客 故 人,tha hương gặp khách cố nhân
𢚸 支 𪨀 𢪀 眞 世 芇,lòng chi chút nghĩ chân thế nào
閉 𫢩 永 仍 渴 嗃,bấy nay vắng những khát khao
悲 𣉹 情 咳 爫 牢 咳 情,bây giờ tình hỡi làm sao hỡi tình
計 之 𨖲 托 𬺗 𡹞,kể chi lên thác xuống gềnh
低 别 冲 撑 𤂬 芇,đây biết trong xanh suối nào
花 浪 計 𥙩 清 台,hoa rằng kể lấy thanh thơi
𢝙 平 會 蓬 萊 㗂 吨,vui bằng hội bồng lai tiếng đồn
一 冲 渃 上 源,nhất trong nước thượng nguyên
𤂬 群 固 㗂 𥒥 強 之 之,suối còn có tiếng đá càng chi chi
𠹚 唐 边 坡,von đường bên bờ
桃 群 待 柳 包 𣉹 朱 冲,đào còn đợi liễu bao giờ cho xong
拯 𠽔 𦋦 𥒥 𨔍 𨓡,chẳng thưa ra đá lạ lùng
𦋦 芇 别 浪 𢚸 固 𦖑,ra nào biết rằng lòng có nghe
於 低 仍 𡶀 穷 溪,ở đây những núi cùng khe
眞 䏾 𥒥 㗂 蟡 哙 愁,chân bụng đá tiếng ve gọi sầu
𠊚 如 閣 鳯 重,người như gác phượng trùng
少 之 卿 相 空 侯 每 尼,thiếu gì khanh tướng không hầu mội nơi
𠊚 如 𩄲 𡧲 𡗶,người như mây giữa trời
碎 如 𤌋 监 制 度 芇,tôi như khói giám chơi đọ nào
𧊉 浪 唉 客 𦟐 桃,bướm rằng hỡi khách má đào
尼 底 搭 𠓨 朱 埃,này để đắp vào cho ai
天 𡗶,thiên trời
地 坦,địa đất
雲 𩄲,vân mây
雨 𩄎,vũ mưa
風 𩙋,phong gió
日 𣈜,nhật ngày
夜 𣎀,dạ đêm
巾,cân
衣 襖,y áo
裳 袩,thường xiêm
刀 刀,đao dao
斧,phủ
鎌 鎌,liêm liềm
堆,đôi
一 𠬠,nhất một
二 𠄩,nhị hai
八 𠔭,bát tám
九 𠃩,cửu chín
十 𨑮,thập mười
萬 𨷈,vạn muôn
滑 裴,hoạt bùi
甘 𤮾,cam ngọt
𤯆,ngon
酸 䣷,toan chua
苦,khổ
辛 𨐮,tân cay
心 𢚸,tâm lòng
面 𫖀,diện mặt
手 𢬣,thủ tay
髮 𩯀,phát tóc
眉,mi
足 蹎,túc chân
量 量,lượng lường
尺 𡱩,xích thước
衡 斤,hoành cân
篙 樔,cao sào
杖 梞,trượng gậy
竿 竿,can cần
標 標,tiêu nêu
鷄 𪃿,kê gà
鵝,nga
牛 𤛠,ngưu trâu
犬 㹥,khuyển chó
貓 猫,miêu mèo
羊 羝,dương dê
木 𣘃,mọc cây
草 𦹵,thảo cỏ
𥯌,tre
梁,lương
麥 𥟼,mạch bắp
𣘛,dâu
池,trì
井 汫,tỉnh giếng
橋 橋,kiểu cầu
榔 橰,lang cau
煙 茦,yên thuốc
芙,phù
灰 洃,hôi vôi
催 推 低 㐌 别 耒,thôi thôi đây đã biết rồi
包 𣉹 少 几 𨕭 𠁀 才 花,bao giờ thiếu kẻ trên đời tài hoa
埃 喂 買 油 𦓡,ai ơi mấy du mà
強 攄 𡗋 強 𫅷 失 緣,càng so lắm càng già thất duyên
𨕭 𡽫 徐 式 修 仙,trên non từ thức tu tiên
玄 光 修 𫢋 於 边 厨,huyên quang tu phật ở bên chùa
中 間 群 景 眞,trung gian còn cảnh chân
蹺 𠾕 女 𡗋 工 夫 埃,theo đòi nữa lắm công phu ai
他 乎 志 立 辰 𢧚,tha hồ chí lập thời nên
修 縁 秦 晋 安 草 花,tu duyên tần tấn yên thảo hoa
花 浪 呐 𠶤 崇,hoa rằng nói sượng sùng
拱 曾 㐌 别 𧵆 賖 每 塘,cũng từng đã biết gần xa mọi đường
𠬠 縁 𤊰 焒 香,một duyên bén lửa hương
朱 停 買 几 雪 霜 别 共,cho đành mấy kẻ tuyết sương biết cùng
仍 恩 怨,những ân oán
𢞂 埃 别 朱 𢚸 尼 諸,buồn ai biết cho lòng này chưa
魂 梅 迷 水 失,hồn mai mê thuỷ thất
催 信 螉 𧊉 吏 書 晋 秦,thôi tin ong bướm lại thư tấn tần
強 𠹚 強 𠬠 吝,càng van càng một lần
𨑮 分 牢 拯 𠬠 分 扒 朱,mười phần sao chẳng một phần bớt cho
呐 𦋦 𤏣 吏 𢢆 殊,nói ra tỏ lại thẹn thò
淹 𦋦 辰 𢜝 咮 𢗼 㗂 沁,êm ra thì sợ chua lừa tiếng tăm
拯 傷 兑 仍,chẳng thương đoái những
絲 𠃩 曲 如 紆,tơ chín khúc như vò
𧊉 浪 沛 呐 𡮈,bướm rằng phải nói nhỏ
固 如 𣷭 麻 𨃝 濃 溇,có như bể mà giò nông sâu
襖 𥹰 拯 默 拱 艚,áo lâu chẳng mặc cũng tầu
花 箕 買 特 牟 縁 庒,hoa kia mãi được màu duyên chăng
㐌 迻 緣 細 閣 藤,đã đưa duyên tới các đằng
𪀄 群 想 𩙌 𥉫 𦝄 矧 徐,chim còn tưởng gió trông trăng thẩn thờ
當 干 渃,đương cơn nước
㯲 樔 待 别 包 𣉹 朱 冲,cấm sào đợi biết bao giờ cho trong
悴 情 㤕 仍 𪨅 中,chút tình xót những trẻ trung
牢 娘 於 准 林 穷 閉 吟,sao nàng ở chốn lâm cùng bấy ngâm
𢝙 制 𡶀 花 林,vui chơi núi hoa lâm
客 塵 𠇍 几 别 尼 開 塘,khách trần mấy kẻ biết nơi khai đường
翁 窖 訴 詳,ông khéo tỏ tường
麻 些 典 貝 娘 結 縁,mà ta đến với nàng kết duyên
花 浪 别 准 林 泉,hoa rằng biết chốn lâm tuyền
清 台 趣 味 塵 緣 恪,thanh thơi thú vị trần duyên khác
𡗶 撑 𣱾 𣱾 𦝄 冲,trời xanh leo lẻo trăng trong
俸 干 𩙌 同 同 細 尼,bổng cơn gió đùng đùng tới nơi
幅 幀 埃 窖 撝,bức tranh ai khéo vời
㗂 𦝄 花 窖 𫃚 𠊚 如 空,tiếng trăng hoa khéo buộc người như không
摱 芒 丐 㗂 𦟐 紅,mượn mang cái tiếng má hồng
𢚁 才 𢚁 色 英 雄 約 𬇚,cậy tài cậy sắc anh hùng ước ao
𡨸 情 想 𢖵 别 包,chữ tình tưởng nhớ biết bao
爫 沖 少 惱 渴 滈 𢚸 塵,làm trong thiểu não khát khao lòng trần
𢖵 埃 群 固 欺 寅,nhớ ai còn có khi giần
𢖵 情 别 𠇍 分 果 𢣧,nhớ tình biết mấy phần khoả khuây
紅 買 曾,hồng mãi từng
妬 埃 愁 尼 朱 𦋦,đố ai sầu này cho ra
固 𣎀 𡎢 䏾 𦝄 斜,có đêm ngồi bóng trăng tà
𣋀 枚 侯 木 㗂 𪃿 噲,sao mai hầu mọc tiếng gà gọi
𤇊 𤇊 清,bầng bầng thanh
吏 添 猿 边,lại thêm vượn bên
𪟂 吒 丐 女 傾 城,chém cha cái nợ khuynh thành
仍 㗂 默 名 𨕭 𠁀,những tiếng mắc danh trên đời
責 縁 𡲤 吏 恨 𠁀,trách duyên vả lại giận đời
㗂 埃 窖 達 仍 𠳒 𧊉 螉,tiếng ai khéo đặt những lời bướm ông
滝 渃 沚 堆 𣳔,sông nước chảy đôi dòng
别 麻 𨃝 特 𢚸 朱 當,biết mà giò được lòng cho đang
𧊉 浪 𧡊 呐 添 強,bướm rằng thấy nói thêm càng
想 𨉓 麻 吏 𢖵 傷 旦 𠊚,tưởng mình mà lại nhớ thương đến người
紅 顔 易 𠇍 𨕭 𡗶,hồng nhan rễ mấy trên trời
花 𦹳 曾 課 𠊚 𨔈 固 辰,hoa thơm từng thuở người chơi có thì
仍 調 𦝄 𩙌 計 之,những điều trăng gió kể chi
賖 𥸷 乙 拱 固 欺 吏 𧵆,xa xôi ắt cũng có khi lại gần
玉 珠 𠸗 結 鄧 春,ngọc châu xưa kết đặng xuân
紅 娘 吀 焒 吝 麻 𢧚,hồng nương xin lửa lần mà nên
尾 之 堆 𡦂 情 縁,vẽ chi đôi chữ tình duyên
𢱖 功 香 焒 添 煩 𢚸,mua công hương lửa thêm phiền lòng
𢪀 牢 朱 院 朱 𧷺,nghĩ sao cho vẹn cho tròn
矯 麻 𢢆 買 渃 𡽫 牢 停,kẻo mà thẹn mấy nước non sao đành
困 𫢩 㐌 願 貝 情,khốn nay đã nguyện với tình
芇 埃 負 義 三 生 油 麻,nào ai phụ nghĩa tam sinh du mà
決 𢚸 細 景 探 花,quyết lòng tới cảnh thăm hoa
庒 修 固 典 廛 𫅷 爫 之,chẳng tu có đến chiền già làm chi
外 秦 晋 狹 之,ngoài tần tấn hẹp gì
芇 𢚸 廣 大 慈 悲 芇,nào lòng quảng đại từ bi nào
船 漁 細 准 洞 桃,thuyền ngư tới chốn động đào
補 功 哏 咘 約 閉,bõ công gắn bó ước bấy
花 浪 𩙌 動 霜 𠖤,hoa rằng gió động sương bay
几 搭 𧜖 几 冷 㳥,kẻ đắp chăn kẻ lạnh lùng
占 吒 丐 刧 𥙩 𫯳 終,chém cha cái kiếp lấy chồng chung
𠄼 澄 𨑮 祸 𫨩 庒 渚,năm chừng mười hoạ hay chăng chớ
𣎃 堆 吝 固 拱 空,tháng đôi lần có cũng không
故 𢶸 咹 𥸷 𥸷 吏 孔,cố đấm ăn xôi xôi lại hỏng
扲 朋 爫 漫 漫 空 功,cầm bằng làm mướn mướn không công
㐌 𠇮 典 准 尼 朱 安,đã mình đến chốn này cho yên
俸 埃 窖 吹 𢧚,bỗng ai khéo xui nên
餒 尼 𠸠 别 羕 尼 𠰚,nỗi này ví biết nhường này nhỉ
信 螉 使 蝶 吏 添 絆 𢚸,tin ong sứ điệp lại thêm bận lòng
群 打 買 拯 冲,còn đánh mãi chẳng trong
辰 𠓀 傕 停 於 丕 衝,thời trước thôi đành ở vậy xong
寔 𢝙 固 打 特 庄 咳 煩,thực vui có đánh được chăng hỡi phiền
𧊉 浪 咳 客 婵 娟,bướm rằng hỡi khách thuyền quyên
㐌 冲 如 這 染 之 麻,đã trong như giá nhuộm chi mà
𨀈 𠓨 𥪝 准 園 花,bước vào trong chốn vườn hoa
庒 𦹳 拱 𢲨 梗 制,chẳng thơm cũng hái cành chơi
䀡 浪 默 客 𨕭 𠁀,xem rằng mặc khách trên đời
底 停 芒 㗂 𦋦 𠊚 冬 迻,để đành mang tiếng ra người đong đưa
決 如 妸 𢬣 𫅷,quyết như ả tay già
採 𣋀 轉 特 呐 麻 潘,hái sao chuyển được nói mà phan
花 浪 䏾 月 漏 漏,hoa rằng bóng nguyệt lầu lầu
俸 埃 律 愁 如 空,bỗng ai rút sầu như không
埃 监 吘 事 𢚸,ai giám ngỏ sự lòng
雪 霜 停 冷 𣼰 𣎀 冬,tuyết sương đành lạnh lùng đêm đông
尾 之 幅 謹 封,vẽ chi bức cẩn phong
𠸠 初 庒 可 朱 衝 默 𠊚,ví xưa chẳng khá cho xong mặc người
庒 𦖑 𦋦 拱 呢 𠳒,chẳng nghe ra cũng nể lời
𡦂 縁 𢧚 妬 㗂 唭 在 埃,chữ duyên nên đố tiếng cười tại ai
𧊉 浪 催 渚 甚 𠳒,bướm rằng thôi chớ rậm lời
人 生 𢼂 於 𨕭 𠁀 終,nhân sinh số ở trên đời chung
詩 云,thi vân
𠳨 制 群 大 𨔍 𨓡,hỏi chơi còn đại lạ lùng
𠬠 低 𠬠 帝 恪 𢚸 之 庒,một đây một đấy khác lòng chi chăng
才 情 特 𠇍 妸 姮,tài tình được mấy ả hàng
女 芇 底 客 𦝄 待 徐,nỡ nào để khách trăng đợi chờ
賊 殷 𨑮 萬 没 𣘃 棍,giặc ân mười vạn một cây côn
𠰚 情 𢧚 沛 尽 辞,nể tình nên phải tận từ
𠀧 𢆫 𠦳 𠸗 没 聖 𡥵,ba tuổi nghìn xưa một thánh con
秦 低 晋 帝 包 𣉹 朱 𢧚,tần đây tấn đấy bao giờ cho nên
悲 𣉹 滝 浪 渃 安,bây giờ sông rằng nước yên
巢 箕 㐌 𨔾 朱 船 𨖅 渚,sào kia đã chở cho thuyền sang chưa
功 業 標 蓮 頭 馭,công nghiệp nêu trên đầu ngựa
戾 欺 声 氣 弭 恒,lệ khi thanh khí nhẹ hằng
孝 忠 𤋵 𤏣 𬌓 𢚸 𣜱,hiếu trung giãi tỏ tấm lòng son
𦝄 箕 缺 怒 埃 扛 朱 𦋦,trăng kia khuyết nọ ai giằng cho ra
𫥨 𢬣 解 救 朱 𥠭,ra tay giải cứu cho giống
腰 𣘃 𢧚 沛 花,yêu cây nên phải hoa
底 㗂 𥹰 𨱽 貝 渃 𡽫,để tiếng lâu dài với nước non
固 固 空 空 芇 赦 𠸥,có có không không nào xá kể
為 情 𢧚 沛 𠓨 𦋦 買 情,vì tình nên phải vào ra mấy tình
𠊚 𠸗 群 買 渃 𡽫 群,người xưa còn mãi nước non còn
𠸗 𫢩 仍 𠎬 奇 人,xưa nay những đấng kỳ nhân
功 名 事 業 𨑮 分 恪 𠊚,công danh sự nghiệp mười phân khác người
立 碑 立 𣄒 𠁀,lập bia lập ở đời
潮 𨖲 㳥 渃 竜 冷,chiều lên sóng nước long lạnh
英 雄 𨢟 𢸞 𢧚 时 世 咍,anh hùng gây giựng nên thời thế hay
花 𦹳 嗷 𠯪 𦲿 撑 夷 夷,hoa thơm ngào ngạt lá xanh dì dì
渃 些 固 傳 奇 台,nước ta có truyện kỳ thay
𠦳 𢆥 碑 𥒥 鑿 𥱬,nghìn năm bia đá tạc ghi
奇 人 奇 事 低 包 𠁀,kỳ nhân kỳ sự đây bao đời
仍 𠳒 𦝄 𩙌 折 之 燕,những lời trăng gió chết gì én
𠳒 誓 群 妬 停 停,lời thề còn đó rành rành
油 埃 单 泊 虎 𨕭 堆,dù ai đơn bạc hổ trên đôi
花 浪 催 吏 𤑟 𤉜,hoa rằng thôi lại rõ ràng
㗂 窖 訴 𨕭 梗 固 花,tiếng khéo tỏ trên ngành có hoa
㐌 修 固 𢪀 之 賖,đã tu có nghĩ gì xa
牢 麻 㗂 𦝄 花 此 情,sao mà tiếng trăng hoa thử tình
永 𦖑 边 梗,vẳng nghe bên ngành
𥉫 𫥨 柳 㐌 萌 拂 坡,trông ra liễu đã mành phất phơ
坤 儀 貞 静 柔 媚,khôn nghi trinh tĩnh nhu mì
道 弹 婆 於 皮 順 𠳐,đạo đàn bà ở bề thuận vâng
分 明 四 德 𠰺 浪,phân minh tứ đức dạy rằng
買 三 從 意 𠸗 曾 撩 𦎛,mấy tam tùng ấy xưa từng treo gương
涅 停 燶 艿 倍 傍,nết đừng nóng nảy vội vàng
㐌 和 平 吏 妙 揚 買 咍,đã hoà bình lại dịu dàng mấy hay
𧡊 調 沛 意 爫 𬆄,thấy đều phải ấy làm ngay
别 勾 磊 𤵺 之 低 𢬭 連,biết câu lỗi dại gì đây đổi liền
靜 時 噒 嚕 勤 拳,tĩnh thời năn nổ cần quyền
動 時 𢖮 沛 𡨺 禮 儀,động thời ắt phải giữ lễ nghi
眜 箕 𬆄 𥊢 𪿄 𠫾,mắt kia ngay thẳng trông đi
䏾 尼 淹 朗 𢪀 之 調 𠳹,bụng này êm lặng nghĩ chi đều xằng
呐 停 嗹 㖫,nói đừng liến lăng
寛 台 𠳒 意 沛 庒 勾 尼,khoan thai lời ấy phải chăng câu này
調 𠊛 空 沛 黙 尸,đều người không phải mặc thây
調 𨉟 空 沛 𠹾 𣦍 𠫾 𦓡,đều mình không phải chịu ngay đi mà
𫳵 𢧚 𩢬 𠲝 𠊛 些,sao nên lừa dối người ta
𫳵 𢧚 謟 佞 讒 坡 傳 𠁀,sao nên siểm nịnh gièm pha chuyện đời
𤵺 𠊛 𩂏 𩂠 每,dại người che đậy mọi
坤 𨉟 𢭳 停 𤇨 𫥨 外,khôn mình giấu đừng phơi ra ngoài
從 之 唭 𠹳 容 𨱽,tuồng gì cười cợt dong dài
𡗉 𠳒 𡗋 傳 羅 𠊛 空 咍,nhiều lời lắm chuyện là người không hay
催 停 𡀍 𠯽 埃 低,thôi đừng mỉa chửi ai đây
催 停 㴜 呐 𠾦 𦓡 乾,thôi đừng bẩn nói be mà càn
停 曠 闕 舒 閒,đừng khoáng khuyết thư nhàn
㐌 爫 朱 吏 朱 精,đã làm cho lại cho tinh
荼 漿 坤 窖 唁 𫅜,dưa tương khôn khéo ngon lành
具 纖 𨉟 監 差,cỗ tươm mình dám sai
學 藝 𦄅 習 藝 𦁼,học nghề dệt tập nghề may
欺 邱 襖 𣅶 𫢼 𢬭 裙,khi khâu áo lúc thay đổi quần
女 工 𣌋 專 勤,nữ công sớm chuyên cần
准 閨 門 𢖮 固 分 榮,chốn khuê môn ắt có phần vang
綘 停 𣜱 粉 點 粧,dáng đành son phấn điểm trang
形 神 質 樸 容 光 完 全,hình thần chất phác dung quang hoàn toàn
𬙾 咦 丐 紅 顔,đẹp gì cái hồng nhan
爫 朱 𡥵 眜 世 間 痗 𡗉,làm cho con mắt thế gian mỏi nhiều
容 儀 嚴 𤾓 朝,dung nghi nghiêm trăm chiều
焒 香 窖 𨤧 情 期,lửa hương khéo nhẽ tình kỳ
䀡 厨 清 永 空 師 修 行,xem chùa thanh vắng không sư tu hành
於 低 岌 𡹞,ở đây gập gềnh
客 情 固 𬺗 船 情 尼 空,khách tình có xuống thuyền tình này không
咍 群 想 𢖵 𡽫 蓬,hay còn tưởng nhớ non bồng
樁 嘹 竹 化 紅 清 台,thông reo trúc hoá hồng thanh chơi
咍 㐌 願 固 尼,hay đã nguyện có nơi
船 只 待 徐 𠊚 情 鍾,thuyền chỉ đợi chờ người tình chung
花 浪 芇 固 𨔍 𨓡,hoa rằng nào có lạ lùng
𢪀 浪 𢚸 㐌 别 𢚸 辰 催,nghĩ rằng lòng đã biết lòng thì thôi
埃 𪫢 吏 庒 信 𠳒,ai ngờ lại chẳng tin lời
塵 𠇍 几 别 𠊚 知 音,trần mấy kẻ biết người tri âm
固 縁 如 果 味,có duyên như quả mùi
空 縁 如 𦑃 花 涞 𡧲 塘,không duyên như cánh hoa rơi giữa đường
意 浪 埃 拱 㗂 鍾,ấy rằng ai cũng tiếng chuông
